a	(ā) 
affluence	(āf'lōō-əns, ə-flōō'-) 
affluency	(āf'lōō'ən-sē, ə-flōō'-) 
affluent	(āf'lōō-ənt, ə-flōō'-) 
afflux	(āf'lŭks') 
affordable	(ə-fôr'də-bəl, ə-fōr'-) 
afford	(ə-fôrd', ə-fōrd') 
afforest	(ə-fôr'ĭst, ə-fŏr'-) 
affray	(ə-frā') 
affricate	(āf'rĭ-kĭt) 
affricative	(ə-frĭk'ə-tĭv) 
affright	(ə-frīt') 
affront	(ə-frŭnt') 
Afghan	(āf'gān', -gən) 
Afghanistan	(āf-gān'ĭ-stān') 
aficionada	(ə-fĭsh'ē-ə-nä'də, -fĭs'ē-, -fē'sē-) 
aficionado	(ə-fĭsh'ē-ə-nä'dō, -fĭs'ē-, -fē'sē-) 
afield	(ə-fēld') 
afire	(ə-fīr') 
aflame	(ə-flām') 
aflatoxin	(āf'lə-tŏk'sĭn) 
afloat	(ə-flōt') 
afoot	(ə-fŏŏt') 
aforethought	(ə-fôr'thôt', -fōr'-) 
afraid	(ə-frād') 
afresh	(ə-frěsh') 
Africa	(āf'rĭ-kə) 
Africander	(āf'rĭ-kān'dər)
Africanism	(āf'rĭ-kə-nĭz'əm) 
Africanist	(āf'rĭ-kə-nĭst) 
Africanize	(āf'rĭ-kə-nīz') 
Afrikaans	(āf'rĭ-käns', -känz') 
Afrikander	(āf'rĭ-kān'dər)
Afrikander	(āf'rĭ-kān'dər) 
Afrikaner	(āf'rĭ-kä'nər) 
afrit	(āf'rēt', ə-frēt') 
Afro	(āf'rō) 
Afrocentric	(āf'rō-sěn'trĭk) 
aft	(āft) 
after	(āf'tər) 
afterbirth	(āf'tər-bûrth') 
afterburner	(āf'tər-bûr'nər) 
aftercare	(āf'tər-kâr') 
afterclap	(āf'tər-klāp') 
afterdamp	(āf'tər-dāmp') 
afterdeck	(āf'tər-děk') 
aftereffect	(āf'tər-ĭ-fěkt') 
afterglow	(āf'tər-glō') 
afterimage	(āf'tər-ĭm'ĭj) 
afterlife	(āf'tər-līf') 
aftermath	(āf'tər-māth') 
afternoon	(āf'tər-nōōn') 
afterpains	(āf'tər-pānz') 
afterpiece	(āf'tər-pēs') 
aftersensation	(āf'tər-sěn-sā'shən) 
aftershock	(āf'tər-shŏk') 
aftertaste	(āf'tər-tāst') 
afterthought	(āf'tər-thôt') 
aftertime	(āf'tər-tīm') 
afterward	(āf'tər-wərd) 
afterword	(āf'tər-wûrd') 
afterworld	(āf'tər-wûrld') 
ag	(āg) 
again	(ə-gěn') 
agalactia	(ā-gə-lāk'tē-ə, -shē-ə, āg'ə-) 
agama	(ə-gā'mə, āg'ə-) 
Agamemnon	(āg'ə-měm'nŏn', -nən) 
agammaglobulinemia	(ā-gām'ə-glŏb'yə-lə-nē'mē-ə) 
agamogenesis	(ā-gām'ə-jěn'ĭ-sĭs, āg'ə-mō-) 
agamospermy	(ə-gām'ə-spûr'mē, āg'ə-mō-) 
agapanthus	(āg'ə-pān'thəs) 
agape	(ä-gä'pā, ä'gə-pā') 
agape	(ə-gāp', ə-gāp') 
agar	(ā'gär', ä'gär') 
agaric	(āg'ər-ĭk, ə-gār'ĭk) 
agate	(āg'ĭt) 
agave	(ə-gä'vē, ə-gā'-) 
age	(āj) 
ageing	(ā'jĭng) 
ageless	(āj'lĭs) 
agency	(ā'jən-sē) 
agenda	(ə-jěn'də) 
agendum	(ə-jěn'dəm) 
agent	(ā'jənt) 
aggie	(āg'ē) 
aggiornamento	(ə-jôr'nə-měn'tō) 
agglomerate	(ə-glŏm'ə-rāt') 
agglomeration	(ə-glŏm'ə-rā'shən) 
agglutinable	(ə-glōōt'n-ə-bəl) 
agglutinate	(ə-glōōt'n-āt') 
agglutination	(ə-glōōt'n-ā'shən) 
agglutination	(ə-glt'n-ā'shən) 
agglutinin	(ə-glōōt'n-ĭn) 
agglutinogen	(āg'lŏŏ-tĭn'ə-jən, ə-glōōt'n-) 
aggrade	(ə-grād') 
aggrandize	(ə-grān'dīz', āg'rən-) 
aggravate	(āg'rə-vāt') 
